Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Land_Value,Flag,Flag Description
GC,Cropland,3,Albania,5026,Area,6727,Cropland organic soils,2018,2018,ha,3050.629,Fc,Calculated data
GC,Cropland,7,Angola,5026,Area,6727,Cropland organic soils,2018,2018,ha,5471.1183,Fc,Calculated data
GC,Cropland,9,Argentina,5026,Area,6727,Cropland organic soils,2018,2018,ha,27913.0415,Fc,Calculated data
GC,Cropland,10,Australia,5026,Area,6727,Cropland organic soils,2018,2018,ha,52921.9173,Fc,Calculated data
GC,Cropland,11,Austria,5026,Area,6727,Cropland organic soils,2018,2018,ha,2626.2094,Fc,Calculated data
GC,Cropland,16,Bangladesh,5026,Area,6727,Cropland organic soils,2018,2018,ha,289098.1469,Fc,Calculated data
GC,Cropland,57,Belarus,5026,Area,6727,Cropland organic soils,2018,2018,ha,1187936.713,Fc,Calculated data
GC,Cropland,255,Belgium,5026,Area,6727,Cropland organic soils,2018,2018,ha,4534.6211,Fc,Calculated data
GC,Cropland,23,Belize,5026,Area,6727,Cropland organic soils,2018,2018,ha,1965.2935,Fc,Calculated data
GC,Cropland,80,Bosnia and Herzegovina,5026,Area,6727,Cropland organic soils,2018,2018,ha,1681.345,Fc,Calculated data
GC,Cropland,20,Botswana,5026,Area,6727,Cropland organic soils,2018,2018,ha,11050.283,Fc,Calculated data
GC,Cropland,21,Brazil,5026,Area,6727,Cropland organic soils,2018,2018,ha,930.384,Fc,Calculated data
GC,Cropland,26,Brunei Darussalam,5026,Area,6727,Cropland organic soils,2018,2018,ha,5310.0895,Fc,Calculated data
GC,Cropland,27,Bulgaria,5026,Area,6727,Cropland organic soils,2018,2018,ha,31767.2104,Fc,Calculated data
GC,Cropland,29,Burundi,5026,Area,6727,Cropland organic soils,2018,2018,ha,42148.3162,Fc,Calculated data
GC,Cropland,32,Cameroon,5026,Area,6727,Cropland organic soils,2018,2018,ha,27680.1013,Fc,Calculated data
GC,Cropland,33,Canada,5026,Area,6727,Cropland organic soils,2018,2018,ha,1080678.393,Fc,Calculated data
GC,Cropland,37,Central African Republic,5026,Area,6727,Cropland organic soils,2018,2018,ha,849.2785,Fc,Calculated data
GC,Cropland,40,Chile,5026,Area,6727,Cropland organic soils,2018,2018,ha,22894.4104,Fc,Calculated data
GC,Cropland,351,China,5026,Area,6727,Cropland organic soils,2018,2018,ha,85737.4055,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GC,Cropland,44,Colombia,5026,Area,6727,Cropland organic soils,2018,2018,ha,8734.1551,Fc,Calculated data
GC,Cropland,46,Congo,5026,Area,6727,Cropland organic soils,2018,2018,ha,49114.1484,Fc,Calculated data
GC,Cropland,48,Costa Rica,5026,Area,6727,Cropland organic soils,2018,2018,ha,1595.4514,Fc,Calculated data
GC,Cropland,107,Côte d'Ivoire,5026,Area,6727,Cropland organic soils,2018,2018,ha,40965.7795,Fc,Calculated data
GC,Cropland,98,Croatia,5026,Area,6727,Cropland organic soils,2018,2018,ha,314.0858,Fc,Calculated data
GC,Cropland,167,Czechia,5026,Area,6727,Cropland organic soils,2018,2018,ha,6280.9285,Fc,Calculated data
GC,Cropland,116,Democratic People's Republic of Korea,5026,Area,6727,Cropland organic soils,2018,2018,ha,4142.699,Fc,Calculated data
GC,Cropland,250,Democratic Republic of the Congo,5026,Area,6727,Cropland organic soils,2018,2018,ha,7752.8933,Fc,Calculated data
GC,Cropland,54,Denmark,5026,Area,6727,Cropland organic soils,2018,2018,ha,61588.1228,Fc,Calculated data
GC,Cropland,58,Ecuador,5026,Area,6727,Cropland organic soils,2018,2018,ha,1306.239,Fc,Calculated data
GC,Cropland,61,Equatorial Guinea,5026,Area,6727,Cropland organic soils,2018,2018,ha,7.3134,Fc,Calculated data
GC,Cropland,178,Eritrea,5026,Area,6727,Cropland organic soils,2018,2018,ha,70.5245,Fc,Calculated data
GC,Cropland,63,Estonia,5026,Area,6727,Cropland organic soils,2018,2018,ha,135911.8003,Fc,Calculated data
GC,Cropland,238,Ethiopia,5026,Area,6727,Cropland organic soils,2018,2018,ha,91397.5037,Fc,Calculated data
GC,Cropland,65,Falkland Islands (Malvinas),5026,Area,6727,Cropland organic soils,2018,2018,ha,71.7495,Fc,Calculated data
GC,Cropland,64,Faroe Islands,5026,Area,6727,Cropland organic soils,2018,2018,ha,531.5331,Fc,Calculated data
GC,Cropland,66,Fiji,5026,Area,6727,Cropland organic soils,2018,2018,ha,1418.2151,Fc,Calculated data
GC,Cropland,67,Finland,5026,Area,6727,Cropland organic soils,2018,2018,ha,373013.4298,Fc,Calculated data
GC,Cropland,68,France,5026,Area,6727,Cropland organic soils,2018,2018,ha,144627.5352,Fc,Calculated data
GC,Cropland,74,Gabon,5026,Area,6727,Cropland organic soils,2018,2018,ha,11001.1729,Fc,Calculated data
GC,Cropland,79,Germany,5026,Area,6727,Cropland organic soils,2018,2018,ha,494975.9368,Fc,Calculated data
GC,Cropland,81,Ghana,5026,Area,6727,Cropland organic soils,2018,2018,ha,1338.3119,Fc,Calculated data
GC,Cropland,84,Greece,5026,Area,6727,Cropland organic soils,2018,2018,ha,35720.7827,Fc,Calculated data
GC,Cropland,90,Guinea,5026,Area,6727,Cropland organic soils,2018,2018,ha,12525.8464,Fc,Calculated data
GC,Cropland,175,Guinea-Bissau,5026,Area,6727,Cropland organic soils,2018,2018,ha,14.3514,Fc,Calculated data
GC,Cropland,91,Guyana,5026,Area,6727,Cropland organic soils,2018,2018,ha,59816.2067,Fc,Calculated data
GC,Cropland,97,Hungary,5026,Area,6727,Cropland organic soils,2018,2018,ha,159516.1041,Fc,Calculated data
GC,Cropland,100,India,5026,Area,6727,Cropland organic soils,2018,2018,ha,84774.2081,Fc,Calculated data
GC,Cropland,101,Indonesia,5026,Area,6727,Cropland organic soils,2018,2018,ha,4163981.744,Fc,Calculated data
GC,Cropland,104,Ireland,5026,Area,6727,Cropland organic soils,2018,2018,ha,23127.8075,Fc,Calculated data
GC,Cropland,264,Isle of Man,5026,Area,6727,Cropland organic soils,2018,2018,ha,42.0073,Fc,Calculated data
GC,Cropland,106,Italy,5026,Area,6727,Cropland organic soils,2018,2018,ha,21127.5829,Fc,Calculated data
GC,Cropland,109,Jamaica,5026,Area,6727,Cropland organic soils,2018,2018,ha,3550.3814,Fc,Calculated data
GC,Cropland,110,Japan,5026,Area,6727,Cropland organic soils,2018,2018,ha,133021.3853,Fc,Calculated data
GC,Cropland,114,Kenya,5026,Area,6727,Cropland organic soils,2018,2018,ha,2566.6161,Fc,Calculated data
GC,Cropland,119,Latvia,5026,Area,6727,Cropland organic soils,2018,2018,ha,124739.7421,Fc,Calculated data
GC,Cropland,123,Liberia,5026,Area,6727,Cropland organic soils,2018,2018,ha,2015.7923,Fc,Calculated data
GC,Cropland,126,Lithuania,5026,Area,6727,Cropland organic soils,2018,2018,ha,251978.6365,Fc,Calculated data
GC,Cropland,256,Luxembourg,5026,Area,6727,Cropland organic soils,2018,2018,ha,104.0056,Fc,Calculated data
GC,Cropland,129,Madagascar,5026,Area,6727,Cropland organic soils,2018,2018,ha,64275.8026,Fc,Calculated data
GC,Cropland,130,Malawi,5026,Area,6727,Cropland organic soils,2018,2018,ha,14302.1775,Fc,Calculated data
GC,Cropland,131,Malaysia,5026,Area,6727,Cropland organic soils,2018,2018,ha,604932.7213,Fc,Calculated data
GC,Cropland,141,Mongolia,5026,Area,6727,Cropland organic soils,2018,2018,ha,113097.5714,Fc,Calculated data
GC,Cropland,273,Montenegro,5026,Area,6727,Cropland organic soils,2018,2018,ha,790.7071,Fc,Calculated data
GC,Cropland,28,Myanmar,5026,Area,6727,Cropland organic soils,2018,2018,ha,229784.0658,Fc,Calculated data
GC,Cropland,147,Namibia,5026,Area,6727,Cropland organic soils,2018,2018,ha,4.92,Fc,Calculated data
GC,Cropland,149,Nepal,5026,Area,6727,Cropland organic soils,2018,2018,ha,43808.9686,Fc,Calculated data
GC,Cropland,150,Netherlands,5026,Area,6727,Cropland organic soils,2018,2018,ha,90990.4365,Fc,Calculated data
GC,Cropland,156,New Zealand,5026,Area,6727,Cropland organic soils,2018,2018,ha,8462.1651,Fc,Calculated data
GC,Cropland,157,Nicaragua,5026,Area,6727,Cropland organic soils,2018,2018,ha,683.8345,Fc,Calculated data
GC,Cropland,162,Norway,5026,Area,6727,Cropland organic soils,2018,2018,ha,63713.0142,Fc,Calculated data
GC,Cropland,166,Panama,5026,Area,6727,Cropland organic soils,2018,2018,ha,11396.0238,Fc,Calculated data
GC,Cropland,168,Papua New Guinea,5026,Area,6727,Cropland organic soils,2018,2018,ha,424801.8685,Fc,Calculated data
GC,Cropland,170,Peru,5026,Area,6727,Cropland organic soils,2018,2018,ha,1930.8812,Fc,Calculated data
GC,Cropland,173,Poland,5026,Area,6727,Cropland organic soils,2018,2018,ha,685768.2875,Fc,Calculated data
GC,Cropland,174,Portugal,5026,Area,6727,Cropland organic soils,2018,2018,ha,7064.2156,Fc,Calculated data
GC,Cropland,177,Puerto Rico,5026,Area,6727,Cropland organic soils,2018,2018,ha,1266.419,Fc,Calculated data
GC,Cropland,146,Republic of Moldova,5026,Area,6727,Cropland organic soils,2018,2018,ha,5126.0815,Fc,Calculated data
GC,Cropland,183,Romania,5026,Area,6727,Cropland organic soils,2018,2018,ha,15200.2354,Fc,Calculated data
GC,Cropland,185,Russian Federation,5026,Area,6727,Cropland organic soils,2018,2018,ha,1559015.47,Fc,Calculated data
GC,Cropland,184,Rwanda,5026,Area,6727,Cropland organic soils,2018,2018,ha,28967.157,Fc,Calculated data
GC,Cropland,272,Serbia,5026,Area,6727,Cropland organic soils,2018,2018,ha,73.411,Fc,Calculated data
GC,Cropland,199,Slovakia,5026,Area,6727,Cropland organic soils,2018,2018,ha,1659.9301,Fc,Calculated data
GC,Cropland,198,Slovenia,5026,Area,6727,Cropland organic soils,2018,2018,ha,3898.4664,Fc,Calculated data
GC,Cropland,25,Solomon Islands,5026,Area,6727,Cropland organic soils,2018,2018,ha,10.535,Fc,Calculated data
GC,Cropland,202,South Africa,5026,Area,6727,Cropland organic soils,2018,2018,ha,4315.3513,Fc,Calculated data
GC,Cropland,277,South Sudan,5026,Area,6727,Cropland organic soils,2018,2018,ha,33582.8021,Fc,Calculated data
GC,Cropland,203,Spain,5026,Area,6727,Cropland organic soils,2018,2018,ha,10997.2647,Fc,Calculated data
GC,Cropland,38,Sri Lanka,5026,Area,6727,Cropland organic soils,2018,2018,ha,14782.1846,Fc,Calculated data
GC,Cropland,207,Suriname,5026,Area,6727,Cropland organic soils,2018,2018,ha,10336.3425,Fc,Calculated data
GC,Cropland,210,Sweden,5026,Area,6727,Cropland organic soils,2018,2018,ha,258610.6128,Fc,Calculated data
GC,Cropland,211,Switzerland,5026,Area,6727,Cropland organic soils,2018,2018,ha,14857.5803,Fc,Calculated data
GC,Cropland,216,Thailand,5026,Area,6727,Cropland organic soils,2018,2018,ha,15476.2917,Fc,Calculated data
GC,Cropland,223,Turkey,5026,Area,6727,Cropland organic soils,2018,2018,ha,13.6693,Fc,Calculated data
GC,Cropland,226,Uganda,5026,Area,6727,Cropland organic soils,2018,2018,ha,97824.3078,Fc,Calculated data
GC,Cropland,230,Ukraine,5026,Area,6727,Cropland organic soils,2018,2018,ha,561370.6831,Fc,Calculated data
GC,Cropland,229,United Kingdom of Great Britain and Northern Ireland,5026,Area,6727,Cropland organic soils,2018,2018,ha,81790.4325,Fc,Calculated data
GC,Cropland,215,United Republic of Tanzania,5026,Area,6727,Cropland organic soils,2018,2018,ha,58700.3925,Fc,Calculated data
GC,Cropland,231,United States of America,5026,Area,6727,Cropland organic soils,2018,2018,ha,902211.38,Fc,Calculated data
GC,Cropland,234,Uruguay,5026,Area,6727,Cropland organic soils,2018,2018,ha,2289.7507,Fc,Calculated data
GC,Cropland,236,Venezuela (Bolivarian Republic of),5026,Area,6727,Cropland organic soils,2018,2018,ha,29855.1274,Fc,Calculated data
GC,Cropland,237,Viet Nam,5026,Area,6727,Cropland organic soils,2018,2018,ha,65970.6682,Fc,Calculated data
GC,Cropland,251,Zambia,5026,Area,6727,Cropland organic soils,2018,2018,ha,127798.0228,Fc,Calculated data
