Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Rice_Residue,Flag,Flag Description
QCL,Crops and livestock products,2,Afghanistan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,352177,1.012,356403.124,,Official data
QCL,Crops and livestock products,3,Albania,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,4,Algeria,5510,Production,27,"Rice, paddy",2018,2018,tonnes,238,1.012,240.856,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,7,Angola,5510,Production,27,"Rice, paddy",2018,2018,tonnes,9699,1.012,9815.388,,Official data
QCL,Crops and livestock products,9,Argentina,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1367968,1.012,1384383.616,,Official data
QCL,Crops and livestock products,1,Armenia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,10,Australia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,635113,1.012,642734.356,,Official data
QCL,Crops and livestock products,52,Azerbaijan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,11975,1.012,12118.7,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,27,"Rice, paddy",2018,2018,tonnes,54416000,1.012,55068992,,Official data
QCL,Crops and livestock products,255,Belgium,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,23,Belize,5510,Production,27,"Rice, paddy",2018,2018,tonnes,13375,1.012,13535.5,,Official data
QCL,Crops and livestock products,53,Benin,5510,Production,27,"Rice, paddy",2018,2018,tonnes,459313,1.012,464824.756,,Official data
QCL,Crops and livestock products,18,Bhutan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,63890,1.012,64656.68,,Official data
QCL,Crops and livestock products,19,Bolivia (Plurinational State of),5510,Production,27,"Rice, paddy",2018,2018,tonnes,541157,1.012,547650.884,,Official data
QCL,Crops and livestock products,21,Brazil,5510,Production,27,"Rice, paddy",2018,2018,tonnes,11808412,1.012,11950112.94,,Official data
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1569,1.012,1587.828,,Official data
QCL,Crops and livestock products,27,Bulgaria,5510,Production,27,"Rice, paddy",2018,2018,tonnes,60720,1.012,61448.64,,Official data
QCL,Crops and livestock products,233,Burkina Faso,5510,Production,27,"Rice, paddy",2018,2018,tonnes,350392,1.012,354596.704,,Official data
QCL,Crops and livestock products,29,Burundi,5510,Production,27,"Rice, paddy",2018,2018,tonnes,89296,1.012,90367.552,,Official data
QCL,Crops and livestock products,115,Cambodia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,10892000,1.012,11022704,,Official data
QCL,Crops and livestock products,32,Cameroon,5510,Production,27,"Rice, paddy",2018,2018,tonnes,300400,1.012,304004.8,F,FAO estimate
QCL,Crops and livestock products,37,Central African Republic,5510,Production,27,"Rice, paddy",2018,2018,tonnes,12000,1.012,12144,,Official data
QCL,Crops and livestock products,39,Chad,5510,Production,27,"Rice, paddy",2018,2018,tonnes,259540,1.012,262654.48,,Official data
QCL,Crops and livestock products,40,Chile,5510,Production,27,"Rice, paddy",2018,2018,tonnes,192808,1.012,195121.696,,Official data
QCL,Crops and livestock products,351,China,5510,Production,27,"Rice, paddy",2018,2018,tonnes,214078796,1.012,216647741.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QCL,Crops and livestock products,96,"China, Hong Kong SAR",5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,41,"China, mainland",5510,Production,27,"Rice, paddy",2018,2018,tonnes,212129000,1.012,214674548,,Official data
QCL,Crops and livestock products,214,"China, Taiwan Province of",5510,Production,27,"Rice, paddy",2018,2018,tonnes,1949796,1.012,1973193.552,,Official data
QCL,Crops and livestock products,44,Colombia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,2944860,1.012,2980198.32,,Official data
QCL,Crops and livestock products,45,Comoros,5510,Production,27,"Rice, paddy",2018,2018,tonnes,34240,1.012,34650.88,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,46,Congo,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1216,1.012,1230.592,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,48,Costa Rica,5510,Production,27,"Rice, paddy",2018,2018,tonnes,158311,1.012,160210.732,,Official data
QCL,Crops and livestock products,107,Côte d'Ivoire,5510,Production,27,"Rice, paddy",2018,2018,tonnes,2007000,1.012,2031084,,Official data
QCL,Crops and livestock products,98,Croatia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,49,Cuba,5510,Production,27,"Rice, paddy",2018,2018,tonnes,460870,1.012,466400.44,,Official data
QCL,Crops and livestock products,50,Cyprus,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,167,Czechia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,116,Democratic People's Republic of Korea,5510,Production,27,"Rice, paddy",2018,2018,tonnes,2087623,1.012,2112674.476,,Official data
QCL,Crops and livestock products,250,Democratic Republic of the Congo,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1286872,1.012,1302314.464,,Official data
QCL,Crops and livestock products,54,Denmark,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,56,Dominican Republic,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1060000,1.012,1072720,,Official data
QCL,Crops and livestock products,58,Ecuador,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1350093,1.012,1366294.116,,Official data
QCL,Crops and livestock products,59,Egypt,5510,Production,27,"Rice, paddy",2018,2018,tonnes,3123708,1.012,3161192.496,,Official data
QCL,Crops and livestock products,60,El Salvador,5510,Production,27,"Rice, paddy",2018,2018,tonnes,22764,1.012,23037.168,,Official data
QCL,Crops and livestock products,63,Estonia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,209,Eswatini,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1000,1.012,1012,,Official data
QCL,Crops and livestock products,238,Ethiopia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,171854,1.012,173916.248,,Official data
QCL,Crops and livestock products,66,Fiji,5510,Production,27,"Rice, paddy",2018,2018,tonnes,7051,1.012,7135.612,,Official data
QCL,Crops and livestock products,67,Finland,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,68,France,5510,Production,27,"Rice, paddy",2018,2018,tonnes,71430,1.012,72287.16,,Official data
QCL,Crops and livestock products,74,Gabon,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1795,1.012,1816.54,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,75,Gambia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,26000,1.012,26312,,Official data
QCL,Crops and livestock products,79,Germany,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,81,Ghana,5510,Production,27,"Rice, paddy",2018,2018,tonnes,769401,1.012,778633.812,,Official data
QCL,Crops and livestock products,84,Greece,5510,Production,27,"Rice, paddy",2018,2018,tonnes,222690,1.012,225362.28,,Official data
QCL,Crops and livestock products,89,Guatemala,5510,Production,27,"Rice, paddy",2018,2018,tonnes,32564,1.012,32954.768,,Official data
QCL,Crops and livestock products,90,Guinea,5510,Production,27,"Rice, paddy",2018,2018,tonnes,2339747,1.012,2367823.964,,Official data
QCL,Crops and livestock products,175,Guinea-Bissau,5510,Production,27,"Rice, paddy",2018,2018,tonnes,176000,1.012,178112,*,Unofficial figure
QCL,Crops and livestock products,91,Guyana,5510,Production,27,"Rice, paddy",2018,2018,tonnes,964472,1.012,976045.664,,Official data
QCL,Crops and livestock products,93,Haiti,5510,Production,27,"Rice, paddy",2018,2018,tonnes,164643,1.012,166618.716,,Official data
QCL,Crops and livestock products,95,Honduras,5510,Production,27,"Rice, paddy",2018,2018,tonnes,60409,1.012,61133.908,,Official data
QCL,Crops and livestock products,97,Hungary,5510,Production,27,"Rice, paddy",2018,2018,tonnes,13420,1.012,13581.04,,Official data
QCL,Crops and livestock products,100,India,5510,Production,27,"Rice, paddy",2018,2018,tonnes,174716730,1.012,176813330.8,,Official data
QCL,Crops and livestock products,101,Indonesia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,59200534,1.012,59910940.41,,Official data
QCL,Crops and livestock products,102,Iran (Islamic Republic of),5510,Production,27,"Rice, paddy",2018,2018,tonnes,1990000,1.012,2013880,*,Unofficial figure
QCL,Crops and livestock products,103,Iraq,5510,Production,27,"Rice, paddy",2018,2018,tonnes,18196,1.012,18414.352,,Official data
QCL,Crops and livestock products,104,Ireland,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,106,Italy,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1470090,1.012,1487731.08,,Official data
QCL,Crops and livestock products,109,Jamaica,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,110,Japan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,10606000,1.012,10733272,,Official data
QCL,Crops and livestock products,108,Kazakhstan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,482945,1.012,488740.34,,Official data
QCL,Crops and livestock products,114,Kenya,5510,Production,27,"Rice, paddy",2018,2018,tonnes,112605,1.012,113956.26,,Official data
QCL,Crops and livestock products,113,Kyrgyzstan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,40783,1.012,41272.396,,Official data
QCL,Crops and livestock products,120,Lao People's Democratic Republic,5510,Production,27,"Rice, paddy",2018,2018,tonnes,3584700,1.012,3627716.4,,Official data
QCL,Crops and livestock products,119,Latvia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,123,Liberia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,257995,1.012,261090.94,,Official data
QCL,Crops and livestock products,126,Lithuania,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,256,Luxembourg,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,129,Madagascar,5510,Production,27,"Rice, paddy",2018,2018,tonnes,4030000,1.012,4078360,,Official data
QCL,Crops and livestock products,130,Malawi,5510,Production,27,"Rice, paddy",2018,2018,tonnes,112313,1.012,113660.756,,Official data
QCL,Crops and livestock products,131,Malaysia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,2639202,1.012,2670872.424,,Official data
QCL,Crops and livestock products,133,Mali,5510,Production,27,"Rice, paddy",2018,2018,tonnes,3167528,1.012,3205538.336,,Official data
QCL,Crops and livestock products,134,Malta,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,136,Mauritania,5510,Production,27,"Rice, paddy",2018,2018,tonnes,323000,1.012,326876,,Official data
QCL,Crops and livestock products,137,Mauritius,5510,Production,27,"Rice, paddy",2018,2018,tonnes,19,1.012,19.228,,Official data
QCL,Crops and livestock products,138,Mexico,5510,Production,27,"Rice, paddy",2018,2018,tonnes,283763,1.012,287168.156,,Official data
QCL,Crops and livestock products,145,Micronesia (Federated States of),5510,Production,27,"Rice, paddy",2018,2018,tonnes,192,1.012,194.304,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,143,Morocco,5510,Production,27,"Rice, paddy",2018,2018,tonnes,63037,1.012,63793.444,,Official data
QCL,Crops and livestock products,144,Mozambique,5510,Production,27,"Rice, paddy",2018,2018,tonnes,413000,1.012,417956,,Official data
QCL,Crops and livestock products,28,Myanmar,5510,Production,27,"Rice, paddy",2018,2018,tonnes,27573589,1.012,27904472.07,,Official data
QCL,Crops and livestock products,149,Nepal,5510,Production,27,"Rice, paddy",2018,2018,tonnes,5151925,1.012,5213748.1,,Official data
QCL,Crops and livestock products,150,Netherlands,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,156,New Zealand,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,157,Nicaragua,5510,Production,27,"Rice, paddy",2018,2018,tonnes,365000,1.012,369380,*,Unofficial figure
QCL,Crops and livestock products,158,Niger,5510,Production,27,"Rice, paddy",2018,2018,tonnes,101607,1.012,102826.284,,Official data
QCL,Crops and livestock products,159,Nigeria,5510,Production,27,"Rice, paddy",2018,2018,tonnes,8403000,1.012,8503836,,Official data
QCL,Crops and livestock products,154,North Macedonia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,19732,1.012,19968.784,,Official data
QCL,Crops and livestock products,165,Pakistan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,10802949,1.012,10932584.39,,Official data
QCL,Crops and livestock products,166,Panama,5510,Production,27,"Rice, paddy",2018,2018,tonnes,336000,1.012,340032,,Official data
QCL,Crops and livestock products,168,Papua New Guinea,5510,Production,27,"Rice, paddy",2018,2018,tonnes,850,1.012,860.2,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,169,Paraguay,5510,Production,27,"Rice, paddy",2018,2018,tonnes,894600,1.012,905335.2,,Official data
QCL,Crops and livestock products,170,Peru,5510,Production,27,"Rice, paddy",2018,2018,tonnes,3557900,1.012,3600594.8,,Official data
QCL,Crops and livestock products,171,Philippines,5510,Production,27,"Rice, paddy",2018,2018,tonnes,19066094,1.012,19294887.13,,Official data
QCL,Crops and livestock products,173,Poland,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,174,Portugal,5510,Production,27,"Rice, paddy",2018,2018,tonnes,160790,1.012,162719.48,,Official data
QCL,Crops and livestock products,177,Puerto Rico,5510,Production,27,"Rice, paddy",2018,2018,tonnes,86,1.012,87.032,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,117,Republic of Korea,5510,Production,27,"Rice, paddy",2018,2018,tonnes,5195437,1.012,5257782.244,,Official data
QCL,Crops and livestock products,146,Republic of Moldova,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,183,Romania,5510,Production,27,"Rice, paddy",2018,2018,tonnes,42860,1.012,43374.32,,Official data
QCL,Crops and livestock products,185,Russian Federation,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1038222,1.012,1050680.664,,Official data
QCL,Crops and livestock products,184,Rwanda,5510,Production,27,"Rice, paddy",2018,2018,tonnes,119932,1.012,121371.184,,Official data
QCL,Crops and livestock products,191,Saint Vincent and the Grenadines,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,194,Saudi Arabia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,195,Senegal,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1206587,1.012,1221066.044,,Official data
QCL,Crops and livestock products,197,Sierra Leone,5510,Production,27,"Rice, paddy",2018,2018,tonnes,919785,1.012,930822.42,,Official data
QCL,Crops and livestock products,199,Slovakia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,198,Slovenia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,25,Solomon Islands,5510,Production,27,"Rice, paddy",2018,2018,tonnes,2746,1.012,2778.952,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,201,Somalia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1343,1.012,1359.116,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,202,South Africa,5510,Production,27,"Rice, paddy",2018,2018,tonnes,3076,1.012,3112.912,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,277,South Sudan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,203,Spain,5510,Production,27,"Rice, paddy",2018,2018,tonnes,798880,1.012,808466.56,,Official data
QCL,Crops and livestock products,38,Sri Lanka,5510,Production,27,"Rice, paddy",2018,2018,tonnes,3929831,1.012,3976988.972,,Official data
QCL,Crops and livestock products,276,Sudan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,30000,1.012,30360,,Official data
QCL,Crops and livestock products,207,Suriname,5510,Production,27,"Rice, paddy",2018,2018,tonnes,273916,1.012,277202.992,,Official data
QCL,Crops and livestock products,210,Sweden,5510,Production,27,"Rice, paddy",2018,2018,tonnes,0,1.012,0,,Official data
QCL,Crops and livestock products,212,Syrian Arab Republic,5510,Production,27,"Rice, paddy",2018,2018,tonnes,,1.012,0,M,Data not available
QCL,Crops and livestock products,208,Tajikistan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,90446,1.012,91531.352,,Official data
QCL,Crops and livestock products,216,Thailand,5510,Production,27,"Rice, paddy",2018,2018,tonnes,32348114,1.012,32736291.37,,Official data
QCL,Crops and livestock products,176,Timor-Leste,5510,Production,27,"Rice, paddy",2018,2018,tonnes,57000,1.012,57684,,Official data
QCL,Crops and livestock products,217,Togo,5510,Production,27,"Rice, paddy",2018,2018,tonnes,145489,1.012,147234.868,,Official data
QCL,Crops and livestock products,220,Trinidad and Tobago,5510,Production,27,"Rice, paddy",2018,2018,tonnes,586,1.012,593.032,,Official data
QCL,Crops and livestock products,223,Turkey,5510,Production,27,"Rice, paddy",2018,2018,tonnes,940000,1.012,951280,,Official data
QCL,Crops and livestock products,213,Turkmenistan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,130000,1.012,131560,*,Unofficial figure
QCL,Crops and livestock products,226,Uganda,5510,Production,27,"Rice, paddy",2018,2018,tonnes,245910,1.012,248860.92,,Official data
QCL,Crops and livestock products,230,Ukraine,5510,Production,27,"Rice, paddy",2018,2018,tonnes,69210,1.012,70040.52,,Official data
QCL,Crops and livestock products,215,United Republic of Tanzania,5510,Production,27,"Rice, paddy",2018,2018,tonnes,3414815,1.012,3455792.78,,Official data
QCL,Crops and livestock products,231,United States of America,5510,Production,27,"Rice, paddy",2018,2018,tonnes,10152890,1.012,10274724.68,,Official data
QCL,Crops and livestock products,234,Uruguay,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1247000,1.012,1261964,,Official data
QCL,Crops and livestock products,235,Uzbekistan,5510,Production,27,"Rice, paddy",2018,2018,tonnes,221089,1.012,223742.068,,Official data
QCL,Crops and livestock products,236,Venezuela (Bolivarian Republic of),5510,Production,27,"Rice, paddy",2018,2018,tonnes,699238,1.012,707628.856,,Official data
QCL,Crops and livestock products,237,Viet Nam,5510,Production,27,"Rice, paddy",2018,2018,tonnes,44046250,1.012,44574805,,Official data
QCL,Crops and livestock products,251,Zambia,5510,Production,27,"Rice, paddy",2018,2018,tonnes,43063,1.012,43579.756,,Official data
QCL,Crops and livestock products,181,Zimbabwe,5510,Production,27,"Rice, paddy",2018,2018,tonnes,1500,1.012,1518,Im,FAO data based on imputation methodology
